"Name","FullPath","SizeBytes","LastWriteTime"
"baseline-router.conf","C:\Users\potte\Desktop\Skola\Scriptspråk\GITHUB\workshop-4-scriptsprak-\network_configs\baseline\baseline-router.conf","358","2025-10-16 07:56:07"
"FW-DC-01.rules","C:\Users\potte\Desktop\Skola\Scriptspråk\GITHUB\workshop-4-scriptsprak-\network_configs\firewalls\FW-DC-01.rules","1050","2024-10-11 00:00:00"
"FW-DMZ-01.rules","C:\Users\potte\Desktop\Skola\Scriptspråk\GITHUB\workshop-4-scriptsprak-\network_configs\firewalls\FW-DMZ-01.rules","883","2024-10-12 00:00:00"
"RT-EDGE-01.conf","C:\Users\potte\Desktop\Skola\Scriptspråk\GITHUB\workshop-4-scriptsprak-\network_configs\routers\RT-EDGE-01.conf","850","2024-10-14 00:00:00"
"RT-EDGE-02.conf","C:\Users\potte\Desktop\Skola\Scriptspråk\GITHUB\workshop-4-scriptsprak-\network_configs\routers\RT-EDGE-02.conf","591","2024-10-10 00:00:00"
"RT-LAGER-01.conf","C:\Users\potte\Desktop\Skola\Scriptspråk\GITHUB\workshop-4-scriptsprak-\network_configs\routers\RT-LAGER-01.conf","607","2024-10-08 00:00:00"
"SW-ACCESS-01.conf","C:\Users\potte\Desktop\Skola\Scriptspråk\GITHUB\workshop-4-scriptsprak-\network_configs\switches\SW-ACCESS-01.conf","524","2024-09-28 00:00:00"
"SW-CORE-01.conf","C:\Users\potte\Desktop\Skola\Scriptspråk\GITHUB\workshop-4-scriptsprak-\network_configs\switches\SW-CORE-01.conf","774","2024-10-13 00:00:00"
"SW-CORE-02.conf","C:\Users\potte\Desktop\Skola\Scriptspråk\GITHUB\workshop-4-scriptsprak-\network_configs\switches\SW-CORE-02.conf","605","2024-10-09 00:00:00"
